"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"1";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptoclostridium"
"2";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptoclostridium"
"3";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella"
"4";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella"
"5";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptoclostridium"
"6";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella"
"7";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptoclostridium"
"8";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella"
"9";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptoclostridium"
"10";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella"
"11";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptoclostridium"
"12";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptoclostridium"
"13";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptoclostridium"
"14";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella"
"15";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella"
"16";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella"
"17";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptoclostridium"
"18";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella"
"19";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptoclostridium"
"20";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella"
"21";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella"
"22";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptoclostridium"
"23";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella"
"24";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella"
"25";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella"
"26";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella"
